metric,finite_horizon,infinite_horizon
mean_final_pnl,63.416016049180456,-2.270751700871154
std_final_pnl,6.919824592539298,4.675171591190126
mean_final_inventory,-0.18666666666666668,-0.06666666666666667
std_final_inventory,3.3284364030110125,1.7820088539498213
mean_abs_inventory,1.1682833333333333,1.5572166666666667
max_abs_inventory,11.0,7.0
average_spread,1.4917937560847572,0.17133546495706212
mean_buy_fills,49.27,111.26333333333334
mean_sell_fills,49.45666666666666,111.33
mean_total_fills,98.72666666666667,222.59333333333333
